Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,7.390000,7.510000,6.500000,6.620000,6.620000,3603300
2020-04-02,6.800000,6.940000,6.270000,6.300000,6.300000,3680500
2020-04-03,6.300000,6.470000,5.840000,6.010000,6.010000,3350400
2020-04-06,6.480000,7.110000,6.330000,7.050000,7.050000,2996300
2020-04-07,7.550000,7.600000,6.860000,6.880000,6.880000,2464000
2020-04-08,7.000000,7.330000,6.880000,7.300000,7.300000,2175100
2020-04-09,7.480000,7.510000,7.150000,7.400000,7.400000,2167700
2020-04-13,7.340000,7.460000,7.180000,7.440000,7.440000,1314200
2020-04-14,7.660000,7.770000,7.280000,7.490000,7.490000,2350300
2020-04-15,7.220000,7.260000,6.850000,7.120000,7.120000,2078500
2020-04-16,7.250000,7.300000,6.910000,7.190000,7.190000,1491600
2020-04-17,7.430000,7.500000,7.230000,7.450000,7.450000,1648800
2020-04-20,7.260000,7.990000,7.260000,7.770000,7.770000,1947500
2020-04-21,7.660000,7.770000,7.330000,7.450000,7.450000,1463700
2020-04-22,7.770000,7.840000,7.530000,7.650000,7.650000,1722600
2020-04-23,7.670000,7.910000,7.670000,7.770000,7.770000,1550800
2020-04-24,7.820000,8.060000,7.650000,8.000000,8.000000,1916900
2020-04-27,8.180000,8.290000,8.060000,8.200000,8.200000,1922800
2020-04-28,8.420000,8.540000,8.140000,8.320000,8.320000,1685300
2020-04-29,8.530000,9.060000,8.370000,8.960000,8.960000,2542600
2020-04-30,8.800000,8.900000,8.420000,8.490000,8.490000,1774300
2020-05-01,8.220000,8.290000,7.650000,7.770000,7.770000,2093000
2020-05-04,7.640000,8.260000,7.460000,8.210000,8.210000,2152600
2020-05-05,8.470000,8.630000,8.300000,8.330000,8.330000,2026500
2020-05-06,8.580000,8.900000,8.390000,8.720000,8.720000,2582500
2020-05-07,8.220000,8.390000,7.320000,7.460000,7.460000,6979900
2020-05-08,7.770000,8.000000,7.640000,7.850000,7.850000,2482600
2020-05-11,7.850000,7.900000,7.380000,7.400000,7.400000,3223500
2020-05-12,7.630000,7.630000,7.090000,7.180000,7.180000,2991600
2020-05-13,7.210000,7.240000,6.860000,6.970000,6.970000,2313000
2020-05-14,6.780000,6.920000,6.410000,6.900000,6.900000,3389000
2020-05-15,6.820000,7.020000,6.610000,7.010000,7.010000,2351500
2020-05-18,7.350000,7.630000,7.300000,7.590000,7.590000,2984600
